,rep,k,fuv_vals,error_variance,non_zero_ratio,SS_err
0,0,2,0.4295955912028936,43.59518525013038,0.21428571428571427,43.59518525013038
1,1,2,0.55702763837582,54.04873278893544,0.16666666666666666,54.04873278893544
2,2,2,0.5333098005091998,55.67766410508801,0.1746031746031746,55.67766410508801
3,3,2,0.6050112030133694,63.60163122834423,0.16666666666666666,63.60163122834423
4,4,2,0.48200612533879367,49.971247280021885,0.2222222222222222,49.971247280021885
5,5,2,0.5823964009120471,61.644876190414955,0.15079365079365079,61.644876190414955
6,6,2,0.6056039475965743,64.1013239634619,0.1984126984126984,64.1013239634619
7,7,2,0.4148495624731352,40.253107036296356,0.2222222222222222,40.253107036296356
8,8,2,0.46938008704750056,47.97681814910008,0.23015873015873015,47.97681814910008
9,9,2,0.46207670441809956,49.242078913453526,0.21428571428571427,49.242078913453526
10,10,2,0.5275503716495222,57.72669100752688,0.20634920634920634,57.72669100752688
11,11,2,0.4866854531104045,51.864556812645276,0.18253968253968253,51.864556812645276
12,12,2,0.39087664380018183,38.5102128302771,0.21428571428571427,38.5102128302771
13,13,2,0.621962913155638,64.48105303736003,0.20634920634920634,64.48105303736003
14,14,2,0.4142992589824991,44.447922200928545,0.19047619047619047,44.447922200928545
15,0,3,0.5313995119016302,55.478229541285714,0.13756613756613756,55.478229541285714
16,1,3,0.5193432487289755,55.71752257480647,0.15873015873015872,55.71752257480647
17,2,3,0.502003597761416,52.04445462506109,0.13227513227513227,52.04445462506109
18,3,3,0.4434709576589032,46.94004330403881,0.18518518518518517,46.94004330403881
19,4,3,0.4293654580348732,43.57183143017157,0.15343915343915343,43.57183143017157
20,5,3,0.4274842721229761,45.24790157889419,0.15343915343915343,45.24790157889419
21,6,3,0.4808476134451644,51.58753449234544,0.1693121693121693,51.58753449234544
22,7,3,0.4715288536499237,49.909885703169984,0.17989417989417988,49.909885703169984
23,8,3,0.42252207713447154,43.49630049612088,0.17989417989417988,43.49630049612088
24,9,3,0.5353349585076416,57.43318644987028,0.15343915343915343,57.43318644987028
25,10,3,0.47393496467825735,48.44238654838351,0.1693121693121693,48.44238654838351
26,11,3,0.45220836949734833,47.86487159995913,0.14285714285714285,47.86487159995913
27,12,3,0.4674825094502864,49.48159255640634,0.164021164021164,49.48159255640634
28,13,3,0.45543979571289783,45.882719373996885,0.1693121693121693,45.882719373996885
29,14,3,0.5592267456974583,57.16032831986084,0.17989417989417988,57.16032831986084
30,0,4,0.41142955678825743,45.02028274914774,0.14285714285714285,45.02028274914774
31,1,4,0.42301464777313114,43.547007906867336,0.13095238095238096,43.547007906867336
32,2,4,0.44941329931542345,46.91885035630783,0.1626984126984127,46.91885035630783
33,3,4,0.46110648132878995,49.13868525289753,0.12301587301587301,49.13868525289753
34,4,4,0.4655989782601657,48.6086389083609,0.1349206349206349,48.6086389083609
35,5,4,0.4523316468467017,47.55123616284148,0.11904761904761904,47.55123616284148
36,6,4,0.4190243402706432,40.971268826462904,0.15079365079365079,40.971268826462904
37,7,4,0.40902661987873734,41.807900040031654,0.14682539682539683,41.807900040031654
38,8,4,0.36466347642986535,35.383520381342755,0.13095238095238096,35.383520381342755
39,9,4,0.39447421703344016,39.4496579517399,0.15476190476190477,39.4496579517399
40,10,4,0.4553389603123485,49.82502691345282,0.11507936507936507,49.82502691345282
41,11,4,0.467266241614992,49.12123120469621,0.1349206349206349,49.12123120469621
42,12,4,0.46696578033044217,48.7513333544302,0.12301587301587301,48.7513333544302
43,13,4,0.40012608582563464,41.48245951008621,0.14682539682539683,41.48245951008621
44,14,4,0.4338975247690189,43.39221221343686,0.12301587301587301,43.39221221343686
45,0,5,0.36862545372137884,37.94794254142862,0.12063492063492064,37.94794254142862
46,1,5,0.3503112821656027,35.54944592996856,0.10476190476190476,35.54944592996856
47,2,5,0.369570656847404,39.38399680090838,0.13015873015873017,39.38399680090838
48,3,5,0.4199745496397125,45.05679337829682,0.1365079365079365,45.05679337829682
49,4,5,0.3702103301135775,41.03374361893802,0.13968253968253969,41.03374361893802
50,5,5,0.37094369663947263,36.270050338081774,0.12063492063492064,36.270050338081774
51,6,5,0.3900593467154139,39.296046838712954,0.13333333333333333,39.296046838712954
52,7,5,0.41645012744678417,44.67867722182761,0.12063492063492064,44.67867722182761
53,8,5,0.44794228551626464,43.79880125047921,0.11428571428571428,43.79880125047921
54,9,5,0.3496225652690769,34.18531749297641,0.1365079365079365,34.18531749297641
55,10,5,0.3394556389933928,34.19803884171986,0.1365079365079365,34.19803884171986
56,11,5,0.3795617631867549,39.35048483650439,0.11428571428571428,39.35048483650439
57,12,5,0.3840154053007007,38.96972658893336,0.1365079365079365,38.96972658893336
58,13,5,0.4090193777151603,43.58792443333712,0.13968253968253969,43.58792443333712
59,14,5,0.3845462593333952,39.586901030265636,0.13968253968253969,39.586901030265636
60,0,6,0.30998605045339656,30.540655131801362,0.11375661375661375,30.540655131801362
61,1,6,0.2787567369649093,27.877253950101846,0.11904761904761904,27.877253950101846
62,2,6,0.3241985369086039,32.8995351995517,0.10846560846560846,32.8995351995517
63,3,6,0.4319460976966458,45.09527054649075,0.09523809523809523,45.09527054649075
64,4,6,0.3599277278405116,38.356379813135334,0.11904761904761904,38.356379813135334
65,5,6,0.4345802848119535,44.41982067615332,0.10846560846560846,44.41982067615332
66,6,6,0.3905665786012065,39.05887195637123,0.09788359788359788,39.05887195637123
67,7,6,0.40518748741341537,42.88785517285059,0.11375661375661375,42.88785517285059
68,8,6,0.3716038117520412,39.06474538055472,0.12698412698412698,39.06474538055472
69,9,6,0.3029109909472238,31.40383334718157,0.0873015873015873,31.40383334718157
70,10,6,0.34100787753087936,35.60129974027313,0.1111111111111111,35.60129974027313
71,11,6,0.40838237820876067,45.26469534431796,0.10052910052910052,45.26469534431796
72,12,6,0.3714278504036661,39.04624749368245,0.09523809523809523,39.04624749368245
73,13,6,0.3676409978877936,39.70522777188171,0.11375661375661375,39.70522777188171
74,14,6,0.30601903894006693,31.948457057415308,0.09523809523809523,31.948457057415308
75,0,7,0.2845271409032344,29.082415880621753,0.10204081632653061,29.082415880621753
76,1,7,0.30264313029791967,30.712101334824602,0.10657596371882086,30.712101334824602
77,2,7,0.4110423058044709,42.61418190789209,0.07709750566893424,42.61418190789209
78,3,7,0.3220982068532191,33.86048269776698,0.10657596371882086,33.86048269776698
79,4,7,0.3156341395904232,33.18094945898417,0.09523809523809523,33.18094945898417
80,5,7,0.2874589344286636,29.59230030535076,0.10430839002267574,29.59230030535076
81,6,7,0.3230708515365695,35.12205056642174,0.10430839002267574,35.12205056642174
82,7,7,0.3938629229811242,42.255418466087164,0.10204081632653061,42.255418466087164
83,8,7,0.32350573717625086,32.829230165487914,0.11337868480725624,32.829230165487914
84,9,7,0.3347253009956324,33.72148678601805,0.11337868480725624,33.72148678601805
85,10,7,0.3445042390919437,36.712746531439876,0.11564625850340136,36.712746531439876
86,11,7,0.3346648433178091,35.90437732306994,0.1111111111111111,35.90437732306994
87,12,7,0.35795132746551805,36.06136411936063,0.07029478458049887,36.06136411936063
88,13,7,0.36926717173081364,36.92881052439503,0.09297052154195011,36.92881052439503
89,14,7,0.34873529327966213,35.645333514453625,0.10204081632653061,35.645333514453625
90,0,8,0.3237844555075144,35.8879459982025,0.10317460317460317,35.8879459982025
91,1,8,0.2321732285357302,23.39000498273338,0.09722222222222222,23.39000498273338
